Events/frame: [16384, 16384, 16384, 16384] | Total: 65536 | Rate: 9 kEv/s (Δ 7203 ms)
Locked hwsem at init
USB ready
Waiting for HE core to lock sem 0 
HWSEOM 0 now locked by HE core
Events/frame: [15998, 15972, 15972, 15973] | Total: 63915 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15972, 15972, 15973, 15969] | Total: 63886 | Rate: 1681 kEv/s (Δ 38 ms)
Events/frame: [15973, 15980, 15973, 15972] | Total: 63898 | Rate: 1825 kEv/s (Δ 35 ms)
Events/frame: [15999, 15973, 15951, 15909] | Total: 63832 | Rate: 1725 kEv/s (Δ 37 ms)
Events/frame: [15999, 15973, 15972, 15972] | Total: 63916 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15973, 15972, 15972, 15973] | Total: 63890 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15972, 15972, 15971, 15974] | Total: 63889 | Rate: 1825 kEv/s (Δ 35 ms)
Events/frame: [15996, 15972, 15973, 15972] | Total: 63913 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15972, 15972, 15973, 15972] | Total: 63889 | Rate: 1638 kEv/s (Δ 39 ms)
Events/frame: [15481, 15922, 15996, 15972] | Total: 63371 | Rate: 1508 kEv/s (Δ 42 ms)
Events/frame: [15973, 15972, 15972, 15973] | Total: 63890 | Rate: 1825 kEv/s (Δ 35 ms)
Events/frame: [15993, 15973, 15972, 15972] | Total: 63910 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15976, 15972, 15972, 15973] | Total: 63893 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15972, 15973, 15972, 15973] | Total: 63890 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15972, 15941, 15812, 15813] | Total: 63538 | Rate: 1411 kEv/s (Δ 45 ms)
Events/frame: [15734, 15705, 15810, 15912] | Total: 63161 | Rate: 1343 kEv/s (Δ 47 ms)
Events/frame: [16000, 15972, 15973, 15972] | Total: 63917 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15973, 15972, 15973, 15972] | Total: 63890 | Rate: 1936 kEv/s (Δ 33 ms)
Events/frame: [15972, 15972, 15973, 15972] | Total: 63889 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15972, 15973, 15972, 15972] | Total: 63889 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15990, 15973, 15972, 15973] | Total: 63908 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15972, 15973, 15962, 15982] | Total: 63889 | Rate: 1879 kEv/s (Δ 34 ms)
